Date,AAPL,ACN,AMZN,APTV,BAC,C,CMCSA,COST,CTSH,CVS,DG,DIS,DRI,DXC,F,FDX,GE,GM,GOOGL,HCA,HD,HLT,IBM,INTC,JPM,KR,LOW,MAR,MSFT,ORCL,PEP,SBUX,T,TGT,TJX,UNH,UPS,WBA,WFC,WMT
2021-11-01,162.98651123046875,344.4789733886719,175.35350036621094,160.35000610351562,41.65056228637695,57.98123550415039,46.64333724975586,518.3494262695312,74.95797729492188,82.80913543701172,214.57322692871094,144.42929077148438,126.6406478881836,29.989999771118164,16.294273376464844,219.23214721679688,58.47243881225586,56.83089828491211,141.8975067138672,220.38107299804688,376.38177490234375,133.97348022460938,103.9407958984375,45.78890609741211,147.73541259765625,39.327880859375,232.9184112548828,144.8163604736328,323.4515075683594,87.23707580566406,149.1205291748047,103.81903076171875,14.557415008544922,228.82174682617188,66.65078735351562,429.0016784667969,181.72579956054688,39.11937713623047,44.7784309387207,45.121864318847656
2021-12-01,175.34033203125,399.562744140625,166.7169952392578,164.9499969482422,41.66929244995117,54.96839904785156,46.96996307373047,545.5653076171875,85.53521728515625,95.91952514648438,228.6615447998047,154.3868408203125,138.29034423828125,32.189998626708984,17.724660873413086,246.1354217529297,58.152347564697266,57.57725524902344,144.8520050048828,250.98764038085938,389.9108581542969,154.72364807128906,120.22301483154297,48.26275634765625,147.2889404296875,43.07408905029297,246.14564514160156,162.1676788330078,329.6597900390625,83.84334564208984,162.1212158203125,111.23744201660156,15.686042785644531,217.92747497558594,73.18476867675781,484.9374084472656,197.3259735107422,45.986289978027344,45.13948059082031,46.42454147338867
2022-01-01,172.5853729248047,340.7970886230469,149.57350158691406,136.5800018310547,43.42268371582031,59.273746490478516,46.65266036987305,485.4347839355469,82.35367584228516,99.03438568115234,202.1428985595703,142.50555419921875,128.4032745361328,30.079999923706055,17.323570251464844,234.69094848632812,58.222320556640625,51.7831916809082,135.30349731445312,234.97024536132812,346.21160888671875,143.93199157714844,120.14207458496094,45.751216888427734,138.2200164794922,41.48474884033203,226.02391052246094,158.12425231933594,304.82159423828125,78.02690887451172,163.03817749023438,93.50147247314453,16.259920120239258,207.56028747558594,69.37706756591797,457.8690490722656,186.1588592529297,43.870361328125,50.61492919921875,45.03938293457031
2022-02-01,163.046630859375,305.3846130371094,153.56300354003906,129.44000244140625,41.59693908691406,53.91253662109375,43.8543701171875,499.0043029785156,83.03817749023438,96.8902587890625,192.65420532226562,147.9777374267578,134.31689453125,34.029998779296875,15.062360763549805,212.17263793945312,58.8570442199707,45.881107330322266,135.0570068359375,245.01312255859375,297.9563293457031,147.65150451660156,110.1939468383789,44.70161819458008,132.6855926513672,44.53971862792969,211.2054443359375,166.9765167236328,292.8730163574219,73.30858612060547,153.84896850585938,87.2914810180664,15.514890670776367,188.1065216064453,63.71855926513672,461.0662841796875,193.71714782714844,40.634742736816406,50.21037673950195,43.5413932800293
2022-03-01,172.63717651367188,325.880859375,162.99749755859375,119.70999908447266,38.79243850708008,48.98877716064453,43.91065216064453,554.2361450195312,86.71294403076172,94.609375,216.24795532226562,136.7144317626953,122.9681396484375,32.630001068115234,14.504813194274902,220.87831115722656,56.38593292236328,42.954620361328125,139.0675048828125,245.31655883789062,282.39007568359375,150.5081329345703,118.357666015625,46.79850387573242,127.55782318115234,54.8481559753418,193.1766815185547,172.48223876953125,302.82940673828125,79.83175659179688,157.26907348632812,86.9503173828125,15.475595474243164,200.6956329345703,58.61378479003906,494.10552978515625,198.87106323242188,39.86900329589844,45.7957649230957,47.97414779663086
2022-04-01,155.86874389648438,290.25164794921875,124.28150177001953,106.4000015258789,33.742881774902344,44.22750473022461,37.28934860229492,511.76251220703125,78.23213958740234,89.86067962646484,230.7207794189453,111.26736450195312,121.83972930908203,28.700000762939453,12.145957946777344,190.3566436767578,45.99237823486328,37.22929382324219,114.1094970703125,210.4509735107422,285.1098327636719,154.02928161621094,120.3512191772461,41.161155700683594,111.6879653930664,51.58805465698242,188.91546630859375,174.2193145751953,272.5866394042969,70.82862091064453,162.39865112304688,71.3418960571289,16.35359764099121,216.23342895507812,59.29105758666992,494.1877746582031,166.8973846435547,37.75844955444336,41.2313117980957,49.47589874267578
2022-05-01,147.15830993652344,289.2744140625,120.20950317382812,106.23999786376953,35.18036651611328,49.50267028808594,41.762855529785156,449.4510498046875,72.23660278320312,90.90911102294922,214.54498291015625,110.08123779296875,116.61334991455078,35.220001220703125,11.81230354309082,215.10665893554688,48.29971694946289,37.9854736328125,113.76200103759766,206.3802490234375,287.3402099609375,139.71646118164062,126.38653564453125,41.944908142089844,124.6478500366211,50.64157485961914,187.34878540039062,168.3897705078125,267.0371398925781,69.67195129394531,158.6533966064453,75.03132629394531,18.72681999206543,153.0893096923828,61.50674057006836,482.75018310546875,169.0023651123047,39.03190612792969,43.253662109375,41.59804916381836
2022-06-01,135.37387084960938,269.1048278808594,106.20999908447266,89.06999969482422,29.43990707397461,42.62550354003906,37.00935745239258,462.04132080078125,65.51625061035156,87.06602478027344,238.98484802246094,94.09334564208984,105.53041076660156,30.309999465942383,9.610448837280273,217.14678955078125,39.2801513671875,31.189727783203125,108.96299743652344,164.8491668701172,260.309814453125,110.66130828857422,130.08485412597656,35.60474395751953,106.15288543701172,45.425071716308594,167.55868530273438,133.72674560546875,252.85202026367188,67.68604278564453,157.62249755859375,73.52882385253906,18.436548233032227,134.11117553710938,54.322444915771484,499.12432861328125,170.7238311767578,34.147525787353516,37.218875885009766,39.4610481262207
2022-07-01,160.90994262695312,296.8343505859375,134.9499969482422,104.88999938964844,32.1585693359375,48.103145599365234,35.38713836669922,521.83056640625,65.97249603271484,89.90370178222656,241.8961944580078,105.75533294677734,116.13755798339844,31.600000381469727,12.684409141540527,224.3887939453125,45.66579055786133,35.608924865722656,116.31999969482422,209.01455688476562,287.4261779785156,127.17510223388672,120.50282287597656,34.557823181152344,108.74518585205078,44.570884704589844,183.73226928710938,156.15380859375,276.39166259765625,75.40690612792969,166.6233367919922,81.60458374023438,16.519010543823242,155.14471435546875,59.48720932006836,528.9030151367188,182.2744140625,35.697235107421875,41.68476486206055,42.85927963256836
2022-08-01,155.67201232910156,280.57666015625,126.7699966430664,93.43000030517578,31.968341827392578,45.6852912902832,34.36302185058594,504.1899108886719,61.32258987426758,92.7607650756836,231.69497680664062,111.71591186523438,116.61894226074219,24.780000686645508,13.159319877624512,202.94053649902344,45.375389099121094,37.52390670776367,108.22000122070312,194.6977996826172,275.46832275390625,126.47006225585938,118.34687805175781,30.379667282104492,108.15699005126953,46.01051712036133,187.2945098876953,151.15911865234375,257.4201354980469,72.15351867675781,164.0615234375,80.92117309570312,15.633790969848633,152.2579345703125,60.644657135009766,506.4630432128906,181.9190216064453,31.588720321655273,41.5327262878418,43.02156448364258
2022-09-01,137.0293731689453,250.2681884765625,113.0,78.20999908447266,28.72490119934082,39.00238037109375,27.849334716796875,456.06927490234375,55.979530334472656,90.13341522216797,234.07615661621094,94.02356719970703,119.07933807373047,24.479999542236328,9.767341613769531,142.92764282226562,38.25150680541992,31.585752487182617,95.6500015258789,180.84352111816406,265.2684020996094,119.91207885742188,110.84429168701172,24.7740478515625,99.37928009033203,42.22178649902344,181.1876983642578,138.03648376464844,229.77935791015625,59.425689697265625,155.48080444335938,81.566162109375,13.672881126403809,141.79347229003906,60.70656967163086,492.5271301269531,152.21499633789062,28.627309799194336,38.47959518432617,42.279884338378906
2022-10-01,152.04112243652344,276.1412353515625,102.44000244140625,91.06999969482422,34.50551223754883,42.92414093017578,30.137670516967773,484.296630859375,60.66722869873047,89.50019836425781,248.89987182617188,106.19390106201172,134.93521118164062,28.75,11.65976619720459,155.14312744140625,48.15019989013672,38.63323974609375,94.51000213623047,214.55914306640625,284.67755126953125,134.46617126464844,129.0182342529297,27.33124351501465,119.71160125732422,45.638126373291016,188.07594299316406,157.7067413330078,229.01971435546875,75.96796417236328,174.09005737304688,83.82166290283203,16.24880027770996,156.9484405517578,70.45950317382812,543.0943603515625,158.08535766601562,33.2769660949707,43.999916076660156,46.397037506103516
2022-11-01,146.77609252929688,294.00750732421875,96.54000091552734,106.66999816894531,36.23844528198242,45.31089401245117,35.09970474243164,521.691650390625,60.62824630737305,96.86721801757812,250.088134765625,97.55207061767578,139.8357696533203,29.670000076293945,12.121970176696777,176.37997436523438,53.19975662231445,39.92265701293945,100.98999786376953,237.00462341308594,311.4601135253906,141.78297424316406,138.91690063476562,28.907861709594727,132.58457946777344,47.47175598144531,206.17071533203125,162.8681182861328,251.7213897705078,81.2097396850586,177.85792541503906,98.93260955810547,17.489913940429688,159.64308166503906,78.22860717773438,535.8648071289062,178.7777099609375,37.83545684814453,45.875099182128906,49.68620681762695
2022-12-01,129.04312133789062,260.70172119140625,84.0,93.12999725341797,31.70983123779297,42.82438659667969,33.499908447265625,441.6361083984375,55.9903450012207,88.60478973388672,240.86434936523438,86.59776306152344,131.59727478027344,26.5,10.248356819152832,167.64903259277344,51.850730895996094,33.111392974853516,88.2300033569336,236.7481231689453,305.4814758300781,125.7625961303711,133.01109313964844,25.751707077026367,128.66983032226562,43.261600494384766,193.26019287109375,147.02149963378906,237.27345275878906,79.9480209350586,173.20797729492188,96.58040618896484,16.70069122314453,143.307861328125,78.11116027832031,518.6665649414062,165.3372802734375,34.46194076538086,39.75771713256836,46.22100830078125
